Point No.,Time [s],Shear Rate [1/s],Shear Stress [Pa],Viscosity [mPa·s],Torque [µN·m],Status
1,10,0.01,0.0028294,282.9,0.092729,Dy_auto
2,20,0.0147,0.0029057,198,0.09523,Dy_auto
3,30,0.0215,0.0031513,146.3,0.10328,Dy_auto
4,40,0.0316,0.0033997,107.5,0.11142,Dy_auto
5,50,0.0464,0.003447,74.3,0.11297,Dy_auto
6,60,0.0681,0.0035772,52.5,0.11724,Dy_auto
7,70,0.1,0.003675,36.8,0.12044,Dy_auto
8,80,0.147,0.0042936,29.3,0.14072,Dy_auto
9,90,0.215,0.004926,22.9,0.16144,Dy_auto
10,100,0.316,0.0064417,20.4,0.21112,Dy_auto
11,110,0.464,0.0082793,17.8,0.27134,Dy_auto
12,120,0.681,0.010641,15.6,0.34874,Dy_auto
13,130,1,0.013975,14,0.458,Dy_auto
14,140,1.47,0.018414,12.5,0.6035,Dy_auto
15,150,2.15,0.024907,11.6,0.81629,Dy_auto
16,160,3.16,0.033081,10.5,1.0842,Dy_auto
17,170,4.64,0.050349,10.8,1.6501,Dy_auto
18,180,6.81,0.079486,11.7,2.605,Dy_auto
19,190,10,0.10996,11,3.6036,Dy_auto
20,200,14.7,0.16562,11.3,5.428,Dy_auto
21,210,21.5,0.24228,11.2,7.9404,Dy_auto
22,220,31.6,0.35655,11.3,11.685,Dy_auto
23,230,46.4,0.52297,11.3,17.139,Dy_auto
24,240,68.1,0.76892,11.3,25.2,Dy_auto
25,250,100,1.1288,11.3,36.994,Dy_auto
,,,,,,
Steady State Viscosity Curve-LO70C,,,,,,
,,,,,,
Viscosity curve 1,,,,,,
,,,,,,
1,25,,,,,
Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
,Constant component,,,,,
,[s],[1/s],[Pa],[mPa·s],[µN·m],
1,10,0.01,-0.0015663,-156.7,-0.051332,Dy_auto
2,20,0.0147,-0.0016072,-109.5,-0.052673,Dy_auto
3,30,0.0215,-0.0014075,-65.3,-0.046128,Dy_auto
4,40,0.0316,-0.0011216,-35.5,-0.036758,Dy_auto
5,50,0.0464,-0.00094881,-20.4,-0.031096,Dy_auto
6,60,0.0681,-0.00078186,-11.5,-0.025624,Dy_auto
7,70,0.1,-0.00065226,-6.5,-0.021377,Dy_auto
8,80,0.147,-0.00056485,-3.8,-0.018512,Dy_auto
9,90,0.215,0.00042163,2,0.013818,Dy_auto
10,100,0.316,0.0016112,5.1,0.052805,Dy_auto
11,110,0.464,0.0035232,7.6,0.11547,Dy_auto
12,120,0.681,0.0054957,8.1,0.18011,Dy_auto
13,130,1,0.0090194,9,0.2956,Dy_auto
14,140,1.47,0.015264,10.4,0.50027,Dy_auto
15,150,2.15,0.025333,11.8,0.83025,Dy_auto
16,160,3.16,0.040491,12.8,1.327,Dy_auto
17,170,4.64,0.059997,12.9,1.9663,Dy_auto
18,180,6.81,0.081931,12,2.6851,Dy_auto
19,190,10,0.12607,12.6,4.1318,Dy_auto
20,200,14.7,0.1806,12.3,5.9188,Dy_auto
21,210,21.5,0.26686,12.4,8.7458,Dy_auto
22,220,31.6,0.39177,12.4,12.839,Dy_auto
23,230,46.4,0.57561,12.4,18.865,Dy_auto
24,240,68.1,0.8449,12.4,27.69,Dy_auto
25,250,100,1.2421,12.4,40.709,Dy_auto
,,,,,,
Steady State Viscosity Curve-65C,,,,,,
,,,,,,
Viscosity curve 1,,,,,,
,,,,,,
1,25,,,,,
